阅读课程单词
unit1
flat 	公寓
high up 	高高在（某个地方）
concrete 	混凝土
alone 	独自一人
lonely 	孤单
now that 	因为，既然
be retired 	退休了
loves in one’s life 	生活中的两个挚爱
on one’s balcony 	在谁的阳台上
tub 	桶
a riot of colour 	五彩缤纷
keep a secret to sb 	对谁保密
entirely 	完完全全安地
immediately 	立刻马上
jut	 突出，伸出
have a fine view of sth 	 有很好的视角
belong to 	属于某人
attractive  	有吸引力的
middle-aged 	中年的
widow 	寡妇
the object of 	是什么的对象
be able to do 	能够做某事
hint 	线索
exchange polite conversation 	礼节性地进行对话
yard 	英码 一种长度单位。
long to do sth 	渴求做某事
be about to do sth 	正要去做某事
form words on one’s lips 	话到嘴边
sth. fail sb.	 什么东西使某人失败
As I said, 	正如我所说
If only 	要是…
something tremendous 	一些很大的事儿
save one’s life 	救某人的命
rescue  	拯救某人
a gang of armed thugs 	一群恶棍
perform some great feat 	作出一些丰功伟绩
hero 	英雄
the trouble with sb 	某人的麻烦是
tortoise 	乌龟
whisper 	低声细语
endearments 	爱慕的话语
stroke 	轻轻抚摸
absurdly 	荒唐地
jealous 	嫉妒
mind doing sth. 	介意做某事
mean 	意味着
plank 	木板
be placed 	被放置
topple 	跌倒，倾斜到要跌倒地状态
edge 	边缘
crawl 	爬行
come along	来到
fill A with B 	用B来装满A
dry hay 	干草
bury 	掩埋
on end 	连续不断地
hibernate 	冬眠
in early spring 	在早春地时候
clap one’s hands 	拍手鼓掌
with joy 	带着欢乐
cry out 	大叫
miss sb 	想念某人
change place with sb 	和谁换位置


