阅读课单词
unit 2
a certain bright morning 	在某一个明媚的早晨
indeed 	甚至;的确，确实，实在
electrify 	使充满电的，使有活力的
balcony-rail 	阳台栏杆
serve sb sth 	给某人提供什么东西
the heart of the the lettuce 	卷心菜心
crispy celery 	爽口脆脆的西芹
gorgeous	 特别棒
beam at sb 	开心地看着某人
beam 	光束
absolutely 	绝对的
mean sth 	意味着
gaze 	凝视，端详
thousandth 	第一千次
ache with love 	因爱而生疼,爱到心疼
gain sth 	得到什么东西
gain+重量 	表示增长重量
weigh sb 	给谁称重
kitchen scale 	厨房秤
ounce 	盎司（一种重量单位）
What does sb weigh? 	某人重多少？
as much as sth 	和什么一样多
grapefruit  	西柚，柚子
solemnly 	严肃地，认真地
tiny wee fellow 	小小的小东西
seem 	看起来
miserable 	悲惨的;令人痛苦的;
titchy 	非常小的
even 	甚至
sb’s mind goes click 	某人灵光一现
amazing 	令人惊讶的，非常好的
come rushing into one’s head 	跃入某人的脑中
giant 	超级大的
turn green with envy 	嫉妒到眼红
spin 	旋转，织网，高速运转
fly-wheel 	飞轮
big chance 	好机会
grab sth 	抓住什么东西
sb. happen to do sth 	某人正巧做某事
feed sb sth 	用什么来喂养某人
Bedouin 	贝都因人 生活在北非沙漠中的阿拉伯人
tribesman 	部落里的人
beg 	祈求
be one’s slave for life 	一生都当某人的奴隶
a little shiver of excitement 	一种由兴奋而产生的微弱的颤动
sweep 	扫过

