quality 	n. 质量
be of good / poor quality 	质量好/差
diet	 n. 饮食；v. 节食
be/go on a diet	节食
The price is reduced   	价格降低.
check-up 	n. 检查（特指体检）
yoga 	n. 瑜伽
mind (sb's) doing sth 	介意某人做某事
mind your head/step/back	注意你的头,脚下,后面
make sure 		确保
be sure to do 		务必,一定做某事
be sure (that) 	确保…不用于祈使句
 install 	v. 安装
meter	 n.（测量用的）仪表
site 	n.场地
cable 	n. 线缆
lay cables 	排，铺线缆
canal	 n. 人工运河
go up 	上涨，上升
I can’t agree more. 	非常同意
exercise	 v. & n. 锻炼
avoid doing sth.	避免做某事
fat 	n. 脂肪
canoeist 	n.划独木舟的人
shot putter 	 铅球运动员
equip 	v.使有所准备，使有能力
equipment 	[U]设备
occupy 	v.使用，占用
coach 	v. /n. 训练，教练
coach sb in doing sth	在某方面训练某人
Okinawan	 n. / adj. 冲绳岛人
Okinawa 	n.冲绳（一个群岛）
centenary 	n.百年，一世纪
centennial 	adj.百年的
centenarian 	n.百年老人（人瑞）
be made up of 	=consist of由什么组成
stress 	n. 压力
stressed	 adj.焦虑不安的，心力交瘁
resist doing sth	抵制，拒绝做某事
exist 	v. 存在 there exist。。。。这个句型是OK的（无被动，无进行时态）
existence 	n.  存在
existent 	adj. 存在的
nuclear family 	核心家庭（只有爸妈加娃的家庭~）
extended family 	几代同堂的大家庭
healthily	 adv.健康的
brisk 	adj.轻快的，敏捷的
lead a ... life 	=live a …life过什么样的生活
consider	 v.认为
I consider you a nice man./I consider you as a nice man/I consider you to be a nice man.     我认为你是一个好人。
calorie 	n. 卡路里
serving 	n.一份（食物）
resistant 	adj.抗 。。的，耐。。的
stress-resistant    抗压的，从容的	
stress-free     无压力的

